2022-12-21 12:41:27,606:__main__:read_qr_code ran with args: ('img/page78.png',), and kwargs: {}
2022-12-21 12:41:28,870:__main__:read_qr_code ran with args: ('img/page79.png',), and kwargs: {}
2022-12-21 12:41:30,011:__main__:read_qr_code ran with args: ('img/page80.png',), and kwargs: {}
2022-12-21 12:41:31,121:__main__:read_qr_code ran with args: ('img/page81.png',), and kwargs: {}
2022-12-21 12:41:32,230:__main__:read_qr_code ran with args: ('img/page82.png',), and kwargs: {}
2022-12-21 12:41:33,328:__main__:read_qr_code ran with args: ('img/page83.png',), and kwargs: {}
2022-12-21 12:41:34,451:__main__:read_qr_code ran with args: ('img/page84.png',), and kwargs: {}
2022-12-21 12:41:35,562:__main__:read_qr_code ran with args: ('img/page85.png',), and kwargs: {}
2022-12-21 12:41:36,672:__main__:read_qr_code ran with args: ('img/page86.png',), and kwargs: {}
2022-12-21 12:41:37,803:__main__:read_qr_code ran with args: ('img/page87.png',), and kwargs: {}
2022-12-21 12:41:38,930:__main__:read_qr_code ran with args: ('img/page88.png',), and kwargs: {}
2022-12-21 12:41:40,053:__main__:read_qr_code ran with args: ('img/page89.png',), and kwargs: {}
2022-12-21 12:41:41,165:__main__:read_qr_code ran with args: ('img/page90.png',), and kwargs: {}
2022-12-21 12:41:42,305:__main__:read_qr_code ran with args: ('img/page91.png',), and kwargs: {}
2022-12-21 12:41:43,458:__main__:read_qr_code ran with args: ('img/page92.png',), and kwargs: {}
2022-12-21 12:41:44,553:__main__:read_qr_code ran with args: ('img/page93.png',), and kwargs: {}
2022-12-21 12:41:45,656:__main__:read_qr_code ran with args: ('img/page94.png',), and kwargs: {}
2022-12-21 12:41:46,753:__main__:read_qr_code ran with args: ('img/page95.png',), and kwargs: {}
2022-12-21 12:41:47,897:__main__:read_qr_code ran with args: ('img/page96.png',), and kwargs: {}
2022-12-21 12:41:49,049:__main__:read_qr_code ran with args: ('img/page97.png',), and kwargs: {}
2022-12-21 12:41:50,203:__main__:read_qr_code ran with args: ('img/page98.png',), and kwargs: {}
2022-12-21 12:41:51,340:__main__:read_qr_code ran with args: ('img/page99.png',), and kwargs: {}
2022-12-21 12:41:52,438:__main__:read_qr_code ran with args: ('img/page100.png',), and kwargs: {}
2022-12-21 12:41:53,532:__main__:read_qr_code ran with args: ('img/page101.png',), and kwargs: {}
2022-12-21 12:41:54,621:__main__:read_qr_code ran with args: ('img/page102.png',), and kwargs: {}
2022-12-21 12:41:55,706:__main__:read_qr_code ran with args: ('img/page103.png',), and kwargs: {}
2022-12-21 12:41:56,798:__main__:read_qr_code ran with args: ('img/page104.png',), and kwargs: {}
